"_id","name","description","category","desired_stock","standard_price","stock","wholesale_cost","condition","disabled","managed","minimum_stock","brand","size","upc","category_1","category_2","category_3","features","specifications","__v","in_stock","last_updated","threshold_stock"
"5a8b8aea44598272c1e8ac7f","ultracycle U-Lock","Regular size Kryptonite U-lock.","Uncategorized","10","25","-9","13.94","New","1",,"5","None","none","756928080098",,,,,,,,,
"5a8b8aea44598272c1e8ac80","Skater Helmet","Round-top hard plastic helmet.","Uncategorized","0","30","-1","25","New",,,"0",,,,,,,,,,,,
"5a8b8aea44598272c1e8ac81","Road Helmet","Nice road helmet.","Uncategorized","0","30","-12","0","New",,,"0",,,,,,,,,,,,
"5a8b8aea44598272c1e8ac82","Bottle Cage","Water bottle.","Uncategorized","0","4","-11","0","New",,,"0",,,,,,,,,,,,
"5a8b8aea44598272c1e8ac83","Wald Basket&install","Front-mounted basket.","Uncategorized","3","30","-10","15","New",,,"1","Wald","none",,,,,,,,,,
"5a8b8aea44598272c1e8ac84","Tire Levers","Plastic tire levers.","Uncategorized","0","3","-30","1","New",,,"0",,,,,,,,,,,,
"5a8b8aea44598272c1e8ac85","Back Caliper","One back caliper.","Uncategorized","0","10",,"0","New",,,,,,,,,,,,,,,
"5a8b8aea44598272c1e8ac86","Front Caliper","One front brake caliper.","Uncategorized","0","10",,"0","New",,,,,,,,,,,,,,,
"5a8b8aea44598272c1e8ac87","V Brake Lever","One V-brake lever.","Uncategorized","4","12","3","8.82","New",,,"2","None","none","4717592008500",,,,,,,,,
"5a8b8aea44598272c1e8ac88","Noodles","One brake noodle.","Uncategorized","0","1",,"0","New",,,"0",,,,,,,,,,,,
"5a8b8aea44598272c1e8ac89","Disc Pads","One set of new disk brake pads.","Uncategorized","0","12",,"0","New",,,"0",,,,,,,,,,,,
"5a8b8aea44598272c1e8ac8a","Cantilever Brake Pads","One set of new cantilever brake pads.","Uncategorized","0","5",,"0","New",,,"0",,,,,,,,,,,,
"5a8b8aea44598272c1e8ac8b","Cassette","One new casette.","Uncategorized","0","12",,"0","New",,,"0",,,,,,,,,,,,
"5a8b8aea44598272c1e8ac8c","Freewheel","One new freewheel.","Uncategorized","0","7",,"0","New",,,"0",,,,,,,,,,,,
"5a8b8aea44598272c1e8ac8d","Chains",,"Uncategorized","0","10","-100","0","New","1",,"0",,,,,,,,,,,,
"5a8b8aea44598272c1e8ac8e","Crankset","Full crankset. Bottom bracket separate.","Uncategorized","0","20",,"0","New",,,"0",,,,,,,,,,,,
"5a8b8aea44598272c1e8ac8f","Pedals","Set of two new pedals.","Uncategorized","0","15",,"0","New","1",,"0",,,,,,,,,,,,
"5a8b8aea44598272c1e8ac90","V Pads","One set of new V-brake pads.","Uncategorized","0","7",,"0","New",,,"0","ULTRACYCLE",,"011111000568","BRAKE PADS","Threaded Post",,,,,,,
"5a8b8aea44598272c1e8ac91","Drop Bars","New drop bars.","Uncategorized","3","15","3","0","Used",,,"1","None","none","123",,,,,,,,,
"5a8b8aea44598272c1e8ac92","Oury grips","Set of new handlebar grips.","Uncategorized","2","15","-13","7.62","New",,,"1","None","NA","696260903009",,,,,,,,,
"5a8b8aea44598272c1e8ac93","Rear Light","One new rear (red) light,","Uncategorized","0","5","-5","0","New","1",,"0",,,,,,,,,,,,
"5a8b8aea44598272c1e8ac94","Front Light (Big)","Single large front light.","Uncategorized","0","15","-2","0","New","1",,"0",,,,,,,,,,,,
"5a8b8aea44598272c1e8ac95","Front Light (Small)","Single small front light.","Uncategorized","0",,"-100","0","New",,,,,,,,,,,,,,,
